YO.dat

    4.860,    5.830,    5.900,    2.500,    3.750,    3.600,    1.000,    1.000,    1.000,
    5.290,    5.830,    5.500,    3.000,    3.250,    4.000,    1.000,    1.000,    1.000,
    5.570,    6.000,    5.600,    2.500,    2.750,    2.800,    0.000,    0.000,    0.000,
    3.140,    5.000,    5.300,    1.500,    2.250,    2.400,    1.000,    1.000,    0.000,
    3.570,    4.170,    4.600,    1.250,    2.000,    3.200,    1.000,    0.000,    1.000,
    3.860,    3.830,    3.200,    1.500,    3.000,    2.200,    0.000,    0.000,    0.000,
    4.000,    6.000,    4.800,    2.000,    4.000,    4.000,    1.000,    1.000,    1.000,
    5.570,    6.000,    5.600,    3.500,    3.250,    3.800,    1.000,    1.000,    1.000,
    2.000,    3.170,    3.000,    1.500,    2.500,    2.000,    0.000,    0.000,    0.000,
    5.000,    5.000,    4.900,    3.500,    4.000,    3.800,    1.000,    1.000,    1.000,
    7.000,    7.000,    6.600,    2.750,    3.250,    3.800,    1.000,    1.000,    1.000,
    4.290,    4.670,    4.000,    1.750,    3.000,    3.800,    0.000,    0.000,    0.000,
    2.860,    5.500,    3.200,    2.250,    3.250,    3.800,    0.000,    0.000,    0.000,
    5.290,    5.330,    5.300,    3.500,    2.500,    3.600,    0.000,    0.000,    1.000,
    5.860,    6.500,    6.300,    3.000,    3.750,    4.000,    0.000,    0.000,    1.000,
    3.860,    5.330,    5.100,    2.500,    3.250,    3.200,    0.000,    0.000,    1.000,
    2.290,    2.830,    3.100,    4.000,    1.500,    3.200,    0.000,    0.000,    1.000,
    4.710,    5.500,    4.300,    2.750,    3.500,    4.000,    1.000,    0.000,    1.000,
    2.570,    3.000,    2.900,    1.500,    2.250,    1.800,    0.000,    0.000,    0.000,
    5.140,    5.000,    5.000,    3.500,    4.000,    4.000,    1.000,    1.000,    1.000,
    4.290,    4.830,    4.900,    3.250,    3.750,    3.400,    0.000,    1.000,    1.000,
    2.570,    3.830,    3.600,    1.000,    2.500,    2.200,    0.000,    0.000,    1.000,
    4.860,    4.670,    4.500,    2.000,    3.750,    3.200,    0.000,    0.000,    1.000,
    4.430,    4.830,    4.300,    2.000,    3.250,    2.000,    1.000,    0.000,    1.000,
    4.140,    4.830,    4.600,    2.000,    2.750,    3.600,    0.000,    0.000,    0.000,
    5.290,    6.170,    5.200,    2.000,    3.500,    3.600,    0.000,    1.000,    1.000,
    5.860,    6.330,    5.500,    2.500,    2.750,    4.000,    1.000,    0.000,    1.000,
    2.430,    4.500,    3.100,    1.750,    2.000,    2.600,    0.000,    0.000,    0.000,
    5.000,    5.000,    4.300,    1.750,    2.250,    2.000,    0.000,    0.000,    0.000,
    5.710,    6.000,    5.300,    2.750,    3.750,    4.000,    1.000,    1.000,    1.000,
    2.710,    3.830,    3.000,    2.750,    1.750,    3.800,    0.000,    0.000,    0.000,
    2.430,    3.830,    3.200,    1.000,    3.000,    3.000,    0.000,    0.000,    0.000,
    4.860,    4.670,    4.500,    2.250,    1.750,    2.000,    0.000,    0.000,    0.000,
    2.710,    3.830,    3.100,    2.000,    3.000,    3.200,    0.000,    0.000,    0.000,
    4.430,    5.000,    5.200,    1.750,    4.000,    3.200,    0.000,    1.000,    1.000,
    4.290,    5.330,    4.100,    2.000,    1.500,    4.000,    0.000,    0.000,    0.000,
    4.290,    6.000,    4.200,    2.000,    1.500,    4.000,    0.000,    0.000,    0.000,
    5.710,    5.500,    6.000,    3.000,    5.000,    3.200,    1.000,    1.000,    1.000,
    4.860,    4.670,    5.700,    2.000,    2.500,    4.000,    1.000,    0.000,    0.000,
    4.140,    4.670,    3.900,    3.000,    3.000,    3.400,    0.000,    0.000,    0.000,
    3.140,    4.500,    4.500,    1.500,    2.250,    3.200,    1.000,    0.000,    0.000,
    2.570,    4.000,    4.300,    1.250,    2.500,    4.000,    1.000,    1.000,    1.000,
    5.430,    5.830,    5.800,    3.000,    4.000,    4.000,    1.000,    1.000,    1.000,
    2.000,    4.000,    3.600,    1.750,    3.250,    1.600,    0.000,    0.000,    0.000,
    5.290,    5.330,    5.200,    3.500,    4.500,    4.200,    1.000,    1.000,    1.000,
    3.000,    4.000,    3.700,    2.750,    3.500,    2.800,    1.000,    1.000,    1.000,
