xi[82,2]	1552001	1560000
xi[83,1]	1560001	1568000
xi[83,2]	1568001	1576000
xi[84,1]	1576001	1584000
xi[84,2]	1584001	1592000
xi[85,1]	1592001	1600000
xi[85,2]	1600001	1608000
xi[86,1]	1608001	1616000
xi[86,2]	1616001	1624000
xi[87,1]	1624001	1632000
xi[87,2]	1632001	1640000
xi[88,1]	1640001	1648000
xi[88,2]	1648001	1656000
xi[89,1]	1656001	1664000
xi[89,2]	1664001	1672000
xi[90,1]	1672001	1680000
xi[90,2]	1680001	1688000
xi[91,1]	1688001	1696000
xi[91,2]	1696001	1704000
xi[92,1]	1704001	1712000
xi[92,2]	1712001	1720000
xi[93,1]	1720001	1728000
xi[93,2]	1728001	1736000
xi[94,1]	1736001	1744000
xi[94,2]	1744001	1752000
xi[95,1]	1752001	1760000
xi[95,2]	1760001	1768000
xi[96,1]	1768001	1776000
xi[96,2]	1776001	1784000
xi[97,1]	1784001	1792000
xi[97,2]	1792001	1800000
xi[98,1]	1800001	1808000
xi[98,2]	1808001	1816000
xi[99,1]	1816001	1824000
xi[99,2]	1824001	1832000
xi[100,1]	1832001	1840000
xi[100,2]	1840001	1848000
xi[101,1]	1848001	1856000
xi[101,2]	1856001	1864000
xi[102,1]	1864001	1872000
xi[102,2]	1872001	1880000
xi[103,1]	1880001	1888000
xi[103,2]	1888001	1896000
xi[104,1]	1896001	1904000
xi[104,2]	1904001	1912000
xi[105,1]	1912001	1920000
xi[105,2]	1920001	1928000
xi[106,1]	1928001	1936000
xi[106,2]	1936001	1944000
xi[107,1]	1944001	1952000
xi[107,2]	1952001	1960000
xi[108,1]	1960001	1968000
xi[108,2]	1968001	1976000
xi[109,1]	1976001	1984000
xi[109,2]	1984001	1992000
xi[110,1]	1992001	2000000
xi[110,2]	2000001	2008000
xi[111,1]	2008001	2016000
xi[111,2]	2016001	2024000
xi[112,1]	2024001	2032000
xi[112,2]	2032001	2040000
xi[113,1]	2040001	2048000
xi[113,2]	2048001	2056000
xi[114,1]	2056001	2064000
xi[114,2]	2064001	2072000
xi[115,1]	2072001	2080000
xi[115,2]	2080001	2088000
xi[116,1]	2088001	2096000
xi[116,2]	2096001	2104000
xi[117,1]	2104001	2112000
xi[117,2]	2112001	2120000
xi[118,1]	2120001	2128000
xi[118,2]	2128001	2136000
xi[119,1]	2136001	2144000
xi[119,2]	2144001	2152000
xi[120,1]	2152001	2160000
xi[120,2]	2160001	2168000
xi[121,1]	2168001	2176000
xi[121,2]	2176001	2184000
xi[122,1]	2184001	2192000
xi[122,2]	2192001	2200000
xi[123,1]	2200001	2208000
xi[123,2]	2208001	2216000
xi[124,1]	2216001	2224000
xi[124,2]	2224001	2232000
xi[125,1]	2232001	2240000
xi[125,2]	2240001	2248000
xi[126,1]	2248001	2256000
xi[126,2]	2256001	2264000
xi[127,1]	2264001	2272000
xi[127,2]	2272001	2280000
xi[128,1]	2280001	2288000
xi[128,2]	2288001	2296000
xi[129,1]	2296001	2304000
xi[129,2]	2304001	2312000
xi[130,1]	2312001	2320000
xi[130,2]	2320001	2328000
xi[131,1]	2328001	2336000
xi[131,2]	2336001	2344000
xi[132,1]	2344001	2352000
xi[132,2]	2352001	2360000
xi[133,1]	2360001	2368000
xi[133,2]	2368001	2376000
xi[134,1]	2376001	2384000
xi[134,2]	2384001	2392000
xi[135,1]	2392001	2400000
xi[135,2]	2400001	2408000
xi[136,1]	2408001	2416000
xi[136,2]	2416001	2424000
xi[137,1]	2424001	2432000
xi[137,2]	2432001	2440000
xi[138,1]	2440001	2448000
xi[138,2]	2448001	2456000
xi[139,1]	2456001	2464000
xi[139,2]	2464001	2472000
xi[140,1]	2472001	2480000
xi[140,2]	2480001	2488000
xi[141,1]	2488001	2496000
xi[141,2]	2496001	2504000
xi[142,1]	2504001	2512000
xi[142,2]	2512001	2520000
xi[143,1]	2520001	2528000
xi[143,2]	2528001	2536000
xi[144,1]	2536001	2544000
xi[144,2]	2544001	2552000
xi[145,1]	2552001	2560000
xi[145,2]	2560001	2568000
xi[146,1]	2568001	2576000
xi[146,2]	2576001	2584000
xi[147,1]	2584001	2592000
xi[147,2]	2592001	2600000
xi[148,1]	2600001	2608000
xi[148,2]	2608001	2616000
xi[149,1]	2616001	2624000
xi[149,2]	2624001	2632000
xi[150,1]	2632001	2640000
xi[150,2]	2640001	2648000
xi[151,1]	2648001	2656000
xi[151,2]	2656001	2664000
xi[152,1]	2664001	2672000
xi[152,2]	2672001	2680000
xi[153,1]	2680001	2688000
xi[153,2]	2688001	2696000
xi[154,1]	2696001	2704000
xi[154,2]	2704001	2712000
xi[155,1]	2712001	2720000
xi[155,2]	2720001	2728000
xi[156,1]	2728001	2736000
xi[156,2]	2736001	2744000
xi[157,1]	2744001	2752000
xi[157,2]	2752001	2760000
xi[158,1]	2760001	2768000
xi[158,2]	2768001	2776000
xi[159,1]	2776001	2784000
xi[159,2]	2784001	2792000
xi[160,1]	2792001	2800000
xi[160,2]	2800001	2808000
xi[161,1]	2808001	2816000
xi[161,2]	2816001	2824000
xi[162,1]	2824001	2832000
xi[162,2]	2832001	2840000
xi[163,1]	2840001	2848000
xi[163,2]	2848001	2856000
xi[164,1]	2856001	2864000
xi[164,2]	2864001	2872000
xi[165,1]	2872001	2880000
xi[165,2]	2880001	2888000
xi[166,1]	2888001	2896000
xi[166,2]	2896001	2904000
xi[167,1]	2904001	2912000
xi[167,2]	2912001	2920000
